soc10 Occupation Name,F & O Probability,soc10,isco08,Class Level,ISCO Occupation Name,Sector ISIC,ID
"Managers, All Other",0.25,119199,1431,1,"Sports, Recreation and Cultural Centre Managers",R,1R
"Managers, All Other",0.25,119199,1439,1,Sports Managers Not Elsewhere Classified,R,1R
Astronomers,0.041,192011,2111,2,Physicists and Astronomers,M,2M
"Physicists, label 0",0.1,192012,2111,2,Physicists and Astronomers,M,2M
"Physical Scientists, All Other",0.43,192099,2111,2,Physicists and Astronomers,M,2M
Atmospheric and Space Scientists,0.67,192021,2112,2,Meteorologists,M,2M
"Physical Scientists, All Other",0.43,192099,2112,2,Meteorologists,M,2M
Chemists,0.1,192031,2113,2,Chemists,M,2M
Material Scientists,0.021,192032,2113,2,Chemists,M,2M
"Physical Scientists, All Other",0.43,192099,2113,2,Chemists,M,2M
"Geoscientists, Except Hydrologists and Geographers",0.63,192042,2114,2,Geologists and Geophysicists,M,2M
Hydrologists,0.014,192043,2114,2,Geologists and Geophysicists,M,2M
"Physical Scientists, All Other",0.43,192099,2114,2,Geologists and Geophysicists,M,2M
Actuaries,0.21,152011,2120,2,"Mathematicians, Actuaries and Statisticians ",K,2K
Mathematicians,0.047,152021,2120,2,"Mathematicians, Actuaries and Statisticians ",M,2M
Operations Research Analyst,0.035,152031,2120,2,"Mathematicians, Actuaries and Statisticians ",M,2M
Statisticians,0.22,152041,2120,2,"Mathematicians, Actuaries and Statisticians ",M,2M
Survey Researchers,0.23,193022,2120,2,"Mathematicians, Actuaries and Statisticians ",M,2M
Animal Scientists,0.061,191011,2131,2,"Biologists, Botanists, Zoologists and Related Professionals",M,2M
Food Scientists and Technologists,0.077,191012,2131,2,"Biologists, Botanists, Zoologists and Related Professionals",M,2M
Soil and Plant Scientists,0.021,191013,2131,2,"Biologists, Botanists, Zoologists and Related Professionals",M,2M
Biochemists and Biophysicists,0.027,191021,2131,2,"Biologists, Botanists, Zoologists and Related Professionals",M,2M
Microbiologists,0.012,191022,2131,2,"Biologists, Botanists, Zoologists and Related Professionals",M,2M
"Zoologists and Wildlife Biologists, label 0",0.3,191023,2131,2,"Biologists, Botanists, Zoologists and Related Professionals",M,2M
"Biological Scientists, All Other",0.015,191029,2131,2,"Biologists, Botanists, Zoologists and Related Professionals",M,2M
Epidemiologists,0.2,191041,2131,2,"Biologists, Botanists, Zoologists and Related Professionals",M,2M
"Medical Scientists, Except Epidemiologists",0.0045,191042,2131,2,"Biologists, Botanists, Zoologists and Related Professionals",M,2M
-,-,191099,2131,2,"Biologists, Botanists, Zoologists and Related Professionals",-,2-
Soil and Plant Scientists,0.021,191013,2132,2,"Farming, Forestry and Fisheries Advisers",A,2A
Foresters,0.0081,191032,2132,2,"Farming, Forestry and Fisheries Advisers",A,2A
Farm and Home Management Advisors,0.0075,259021,2132,2,"Farming, Forestry and Fisheries Advisers",A,2A
Conservation Scientists,0.016,191031,2133,2,Environmental Protection Professionals,E,2E
"Environmental Scientists and Specialists, Including Health",0.033,192041,2133,2,Environmental Protection Professionals,M,2M
Industrial Engineers,0.029,172112,2141,2,Industrial and Production Engineers,C,2C
"Civil Engineers, label 0",0.019,172051,2142,2,Civil Engineers,F,2F
Environmental Engineers,0.018,172081,2143,2,Environmental Engineers,E,2E
Aerospace Engineers,0.017,172011,2144,2,Mechanical Engineers,C,2C
Agricultural Engineers,0.49,172021,2144,2,Mechanical Engineers,C,2C
Marine Engineers and Naval Architects,0.01,172121,2144,2,Mechanical Engineers,C,2C
Mechanical Engineers,0.011,172141,2144,2,Mechanical Engineers,C,2C
Chemical Engineers,0.017,172041,2145,2,Chemical Engineers,C,2C
Materials Engineers,0.021,172131,2146,2,"Mining Engineers, Metallurgists and Related Professionals ",B,2B
"Mining and Geological Engineers, Including Mining Safety Engineers",0.14,172151,2146,2,"Mining Engineers, Metallurgists and Related Professionals ",B,2B
Petroleum Engineers,0.16,172171,2146,2,"Mining Engineers, Metallurgists and Related Professionals ",B,2B
Material Scientists,0.021,192032,2146,2,"Mining Engineers, Metallurgists and Related Professionals ",B,2B
Biomedical Engineers,0.037,172031,2149,2,Engineering Professionals Not Elsewhere Classified,M,2M
"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",0.028,172111,2149,2,Engineering Professionals Not Elsewhere Classified,O,2O
Materials Engineers,0.021,172131,2149,2,Engineering Professionals Not Elsewhere Classified,C,2C
Nuclear Engineers,0.07,172161,2149,2,Engineering Professionals Not Elsewhere Classified,D,2D
"Engineers, All Other",0.014,172199,2149,2,Engineering Professionals Not Elsewhere Classified,C,2C
"Electrical Engineers, label 0",0.1,172071,2151,2,Electrical Engineers,D,2D
Computer Hardware Engineers,0.22,172061,2152,2,Electronics Engineers,C,2C
"Electronics Engineers, Except Computer",0.025,172072,2152,2,Electronics Engineers,C,2C
"Electronics Engineers, Except Computer",0.025,172072,2153,2,Telecommunications Engineers,C,2C
"Architects, Except Landscape and Naval",0.018,171011,2161,2,Building Architects,M,2M
"Landscape Architects, label 0",0.045,171012,2162,2,Landscape Architects,N,2N
Commercial and Industrial Designers,0.037,271021,2163,2,Product and Garment Designers,M,2M
"Fashion Designers, label 0",0.021,271022,2163,2,Product and Garment Designers,M,2M
-,-,271029,2163,2,Product and Garment Designers,-,2-
Urban and Regional Planners,0.13,193051,2164,2,Town and Traffic Planners,H,2H
Cartographers and Photogrammetrists,0.88,171021,2165,2,Cartographers and Surveyors,M,2M
"Surveyors, label 1",0.38,171022,2165,2,Cartographers and Surveyors,M,2M
Multimedia Artists and Animators,0.015,271014,2166,2,Graphic and Multimedia Designers,M,2M
Graphic Designers,0.082,271024,2166,2,Graphic and Multimedia Designers,M,2M
-,-,291062,2211,2,Generalist Medical Practitioners,-,2-
-,-,291063,2211,2,Generalist Medical Practitioners,-,2-
-,-,291065,2211,2,Generalist Medical Practitioners,-,2-
-,-,291069,2211,2,Generalist Medical Practitioners,-,2-
Physicians and Surgeons -label 0,0.0042,291061,2212,2,Specialist Medical Practitioners,Q,2Q
Physicians and Surgeons -label 0,0.0042,291064,2212,2,Specialist Medical Practitioners,Q,2Q
Physicians and Surgeons -label 0,0.0042,291066,2212,2,Specialist Medical Practitioners,Q,2Q
Physicians and Surgeons -label 0,0.0042,291067,2212,2,Specialist Medical Practitioners,Q,2Q
Physicians and Surgeons -label 0,0.0042,291069,2212,2,Specialist Medical Practitioners,Q,2Q
"Registered Nurses, label 0",0.009,291141,2221,2,Nursing Professionals,Q,2Q
"Registered Nurses, label 0",0.009,291151,2221,2,Nursing Professionals,Q,2Q
"Registered Nurses, label 0",0.009,291171,2221,2,Nursing Professionals,Q,2Q
-,-,291161,2222,2,Midwifery Professionals,-,2-
"Health Diagnosing and Treating Practitioners, All Other",0.02,291199,2230,2,Traditional and Complementary Medicine Professionals,Q,2Q
Physician Assistants,0.14,291071,2240,2,Paramedical Practitioners,Q,2Q
Veterinarians,0.038,291131,2250,2,Veterinarians,M,2M
"Dentists, General -Label 0",0.0044,291021,2261,2,Dentists,Q,2Q
Oral and Maxillofacial Surgeons,0.0036,291022,2261,2,Dentists,Q,2Q
Orthodontists,0.023,291023,2261,2,Dentists,Q,2Q
Prosthodontists,0.055,291024,2261,2,Dentists,Q,2Q
-,-,291029,2261,2,Dentists,-,2-
Pharmacists,0.012,291051,2262,2,Pharmacists,Q,2Q
Health Educators,0.045,211091,2263,2,Environmental and Occupational Health and Hygiene Professionals,Q,2Q
Occupational Health and Safety Specialists,0.17,299011,2263,2,Environmental and Occupational Health and Hygiene Professionals,Q,2Q
Physical Therapists,0.021,291123,2264,2,Physiotherapists,Q,2Q
-,-,291128,2264,2,Physiotherapists,-,2-
Dieticians and Nutritionists,0.0039,291031,2265,2,Dieticians and Nutritionists,Q,2Q
Speech-Language Pathologists,0.0064,291127,2266,2,Audiologists and Speech Therapists,Q,2Q
Audiologists,0.0033,291181,2266,2,Audiologists and Speech Therapists,Q,2Q
Optometrists,0.14,291041,2267,2,Optometrists and Ophthalmic Opticians,Q,2Q
Chiropractors,0.027,291011,2269,2,Health Professionals Not Elsewhere Classified,Q,2Q
Podiatrists,0.0046,291081,2269,2,Health Professionals Not Elsewhere Classified,Q,2Q
Occupational Therapists,0.0035,291122,2269,2,Health Professionals Not Elsewhere Classified,Q,2Q
Recreational Therapists,0.0028,291125,2269,2,Health Professionals Not Elsewhere Classified,Q,2Q
"Healthcare Practitioners and Technical Workers, All Other, label 0",0.055,291129,2269,2,Health Professionals Not Elsewhere Classified,Q,2Q
"Health Diagnosing and Treating Practitioners, All Other",0.02,291199,2269,2,Health Professionals Not Elsewhere Classified,Q,2Q
-,-,299092,2269,2,Health Professionals Not Elsewhere Classified,Q,2Q
Postsecondary Teachers,0.032,251000,2310,2,University and Higher Education Teachers,P,2P
-,-,251194,2320,2,Vocational Education Teachers,P,2P
"Career/Technical Education Teachers, Middle School",0.26,252023,2320,2,Vocational Education Teachers,P,2P
"Career/Technical Education Teachers, Secondary School",0.0088,252032,2320,2,Vocational Education Teachers,P,2P
"Secondary School Teachers, Except Special and Career/Technical Education",0.0078,252031,2330,2,Secondary Education Teachers,P,2P
"Elementary School Teacher, Except Special Education",0.0044,252021,2341,2,Primary School Teachers,P,2P
"Middle School Teachers, Excepts Special and Career/Technical Education",0.17,252022,2341,2,Primary School Teachers,P,2P
"Preschool Teachers, Except Special Education, label 0",0.0073,252011,2342,2,Early Childhood Educators,P,2P
"Kindergarten Teachers, Except Education",0.15,252012,2342,2,Early Childhood Educators,P,2P
Instructional Coordinators,0.0042,259031,2351,2,Education Methods Specialists,P,2P
-,-,252051,2352,2,Special Needs Teachers,-,2-
-,-,252052,2352,2,Special Needs Teachers,-,2-
"Special Education Teachers, Middle School",0.016,252053,2352,2,Special Needs Teachers,P,2P
"Special Education Teachers, Secondary School",0.0077,252054,2352,2,Special Needs Teachers,P,2P
-,-,252059,2352,2,Special Needs Teachers,-,2-
Adult Basic and Secondary Education and Literacy Teachers and Instructors,0.19,253011,2353,2,Other Language Teachers,P,2P
Self-Enrichment Education Teachers,0.13,253021,2353,2,Other Language Teachers,P,2P
-,-,253099,2353,2,Other Language Teachers,-,2-
Self-Enrichment Education Teachers,0.13,253021,2354,2,Other Music Teachers,P,2P
Self-Enrichment Education Teachers,0.13,253021,2355,2,Other Arts Teachers,P,2P
-,-,253099,2355,2,Other Arts Teachers,-,2-
Training and Development Specialists,0.014,131151,2356,2,Information Technology Trainers,P,2P
"Educational, Guidance, School, and Vocational Counsellors",0.0085,211012,2359,2,Teaching Professionals Not Elsewhere Classified,P,2P
"Teachers and Instructors, All Other",0.0095,253099,2359,2,Teaching Professionals Not Elsewhere Classified,P,2P
"Accountants and Auditors, label 1",0.94,132011,2411,2,Accountants,M,2M
Budget Analysts,0.94,132031,2411,2,Accountants,M,2M
Tax Preparers,0.99,132082,2411,2,Accountants,M,2M
Financial Analysts,0.23,132051,2412,2,Financial and Investment Advisers,K,2K
Personal Financial Advisors,0.58,132052,2412,2,Financial and Investment Advisers,K,2K
"Credit Analysts, label 1",0.98,132041,2413,2,Financial Analysts,K,2K
Financial Analysts,0.23,132051,2413,2,Financial Analysts,K,2K
Financial Examiners,0.17,132061,2413,2,Financial Analysts,K,2K
Logisticians,0.012,131081,2421,2,Management and Organization Analysts,M,2M
Management Analysts,0.13,131111,2421,2,Management and Organization Analysts,M,2M
"Business Operations Specialists, All Other",0.23,131199,2422,2,Policy Administration Professionals,N,2N
"Business Operations Specialists, All Other",0.23,131071,2423,2,Personnel and Careers Professionals - Real Estate,L,2L
"Business Operations Specialists, All Other",0.23,131075,2423,2,Personnel and Careers Professionals -Accommodation and Food Service,I,2I
"Compensation, Benefits, and Job Analysis Specialists",0.47,131141,2423,2,Personnel and Careers Professionals,N,2N
"Educational, Guidance, School, and Vocational Counsellors",0.0085,211012,2423,2,Personnel and Careers Professionals,P,2P
Training and Development Specialists,0.014,131151,2424,2,Training and Staff Development Professionals,N,2N
"Market Research Analysts and Marketing Specialists, label 1",0.61,131161,2431,2,Advertising and Marketing Professionals,M,2M
Writers and Authors,0.038,273043,2431,2,Advertising and Marketing Professionals,R,2R
Public Relations Specialists,0.18,273031,2432,2,Public Relations Professionals,M,2M
First-Line Supervisors of Non-Retail Sales Workers,0.075,411012,2433,2,Technical and Medical Sales Professionals (excluding ICT),G,2G
"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",0.25,414011,2433,2,Technical and Medical Sales Professionals (excluding ICT),G,2G
First-Line Supervisors of Non-Retail Sales Workers,0.075,411012,2434,2,Information and Communications Technology Sales Professionals,G,2G
"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",0.25,414011,2434,2,Information and Communications Technology Sales Professionals,G,2G
Sales Engineers,0.0041,419031,2434,2,Information and Communications Technology Sales Professionals,G,2G
Computer and Information Research Scientists,0.015,151111,2511,2,Systems Analysts,J,2J
Computer Systems Analysts,0.0065,151121,2511,2,Systems Analysts,J,2J
"Software Developers, Applications",0.042,151132,2512,2,Software Developers,J,2J
"Software Developers, Systems Software",0.13,151133,2512,2,Software Developers,J,2J
-,-,151134,2513,2,Web and Multimedia Developers,-,2-
Computer Programmers,0.48,151131,2514,2,Applications Programmers,J,2J
-,-,151199,2519,2,Software and Applications Developers and Analyst Not Elsewhere Classified,-,2-
Database Administrators,0.03,151141,2521,2,Database Designers and Administrators,N,2N
Network and Computer Systems Administrators,0.03,151142,2522,2,Systems Administrators,N,2N
-,-,151143,2523,2,Computer Network Professionals,-,2-
-,-,151122,2529,2,Database and Network Professionals Not Elsewhere Classified,-,2-
-,-,151199,2529,2,Database and Network Professionals Not Elsewhere Classified,-,2-
Lawyers,0.035,231011,2611,2,Lawyers,M,2M
"Administrative Law Judges, Adjudicators, and Hearing Officers",0.64,231021,2612,2,Judges,O,2O
"Judges, Magistrate Judges, and Magistrates, label 0",0.4,231023,2612,2,Judges,O,2O
"Arbitrators, Mediators, and Conciliators",0.06,231022,2619,2,Legal Professionals Not Elsewhere Classified,M,2M
Archivists,0.76,254011,2621,2,Archivists and Curators,R,2R
Curators,0.0068,254012,2621,2,Archivists and Curators,R,2R
Librarians,0.65,254021,2622,2,Librarians and Related Information Professionals,R,2R
Audio-Visual and Multimedia Collections Specialists,0.39,259011,2622,2,Librarians and Related Information Professionals,R,2R
"Economists, label 0",0.43,193011,2631,2,Economists,M,2M
Sociologists,0.059,193041,2632,2,"Sociologists, Anthropologists and Related Professionals",M,2M
Anthropologists and Archaeologists,0.0077,193091,2632,2,"Sociologists, Anthropologists and Related Professionals",R,2R
Geographers,0.25,193092,2632,2,"Sociologists, Anthropologists and Related Professionals",R,2R
Historians,0.44,193093,2633,2,"Philosophers, Historians and Political Scientists",R,2R
Political Scientists,0.039,193094,2633,2,"Philosophers, Historians and Political Scientists",M,2M
"Social Scientists and Related Workers, All Other",0.04,193099,2633,2,"Philosophers, Historians and Political Scientists",M,2M
"Clinical, Counselling, and Social Psychologists",0.0047,193031,2634,2,Psychologists,Q,2Q
Industrial-Organizational Psychologists,0.012,193032,2634,2,Psychologists,Q,2Q
"Psychologists, All Other",0.0043,193039,2634,2,Psychologists,Q,2Q
"Substance Abuse and Behavioural Disorder Counsellors, label 0",0.033,211011,2635,2,Social Work and Counselling Professionals,Q,2Q
"Marriage Counsellors, label 0",0.014,211013,2635,2,Social Work and Counselling Professionals,Q,2Q
Mental Health Counsellors,0.0048,211014,2635,2,Social Work and Counselling Professionals,Q,2Q
Rehabilitation Counsellors,0.0094,211015,2635,2,Social Work and Counselling Professionals,Q,2Q
-,-,211019,2635,2,Social Work and Counselling Professionals,-,2-
"Child, Family, and School Social Workers",0.028,211021,2635,2,Social Work and Counselling Professionals,Q,2Q
Healthcare Social Workers,0.0035,211022,2635,2,Social Work and Counselling Professionals,Q,2Q
Mental Health and Substance Abuse Workers,0.0031,211023,2635,2,Social Work and Counselling Professionals,Q,2Q
-,-,211029,2635,2,Social Work and Counselling Professionals,-,2-
Probation Officers and Correctional Treatment Specialists,0.25,211092,2635,2,Social Work and Counselling Professionals,Q,2Q
-,-,211099,2635,2,Social Work and Counselling Professionals,-,2-
"Clergy, label 0",0.0081,212011,2636,2,Religious Professionals,S,2S
"Directors, Religious Activities and Education",0.025,212021,2636,2,Religious Professionals,S,2S
Editors,0.055,273041,2641,2,Authors and Related Writers,R,2R
"Technical Writers, label 1",0.89,273042,2641,2,Authors and Related Writers,R,2R
Writers and Authors,0.038,273043,2641,2,Authors and Related Writers,R,2R
Reporters and Correspondents,0.11,273022,2642,2,Journalists,J,2J
Editors,0.055,273041,2642,2,Journalists,J,2J
"Social Scientists and Related Workers, All Other",0.04,193099,2643,2,"Translators, Interpreters, and Other Linguists",M,2M
Interpreters and Translators,0.38,273091,2643,2,"Translators, Interpreters, and Other Linguists",M,2M
Craft Artists,0.035,271012,2651,2,Visual Artists,R,2R
"Fine Artists, Including Painters, Sculptors, and Illustrators",0.042,271013,2651,2,Visual Artists,R,2R
Music Directors and Composers,0.015,272041,2652,2,"Musicians, Singers, and Composers",R,2R
Musicians and Singers,0.074,272042,2652,2,"Musicians, Singers, and Composers",R,2R
Dancers,0.13,272031,2653,2,Dancers and Choreographers,R,2R
Choreographers,0.004,272032,2653,2,Dancers and Choreographers,R,2R
Art Directors,0.025,271011,2654,2,"Film, Stage and Related Directors and Producers",R,2R
Producers and Directors,0.022,272012,2654,2,"Film, Stage and Related Directors and Producers",R,2R
Film and Video Editors,0.31,274032,2654,2,"Film, Stage and Related Directors and Producers",R,2R
Actors,0.37,272011,2655,2,Actors,R,2R
Radio and Television Announcers,0.1,273011,2656,2,"Announcers on Radio, Television and Other Media",J,2J
Public Address System and Other Announcers,0.72,273012,2656,2,"Announcers on Radio, Television and Other Media",J,2J
Broadcast News Analysts,0.067,273021,2656,2,"Announcers on Radio, Television and Other Media",J,2J
-,-,272099,2659,2,Creative and Performing Artists Not Elsewhere Classified,-,2-
Chemical Technicians,0.57,194031,3111,3,Chemical and Physical Science Technicians,M,3M
Geological and Petroleum Technicians,0.91,194041,3111,3,Chemical and Physical Science Technicians,B,3B
"Life, Physical and Social Science Technicians, All Other",0.61,194099,3111,3,Chemical and Physical Science Technicians,M,3M
"Civil Engineering Technicians, label 1",0.75,173022,3112,3,Civil Engineering Technicians,F,3F
Surveying and Mapping Technicians,0.96,173031,3112,3,Civil Engineering Technicians,F,3F
First-Line Supervisors of Fire Fighting and Prevention Workers,0.0036,331021,3112,3,Civil Engineering Technicians,O,3O
Fire Inspectors and Investigators,0.48,332021,3112,3,Civil Engineering Technicians,O,3O
Construction and Building Inspectors,0.63,474011,3112,3,Civil Engineering Technicians,F,3F
Electrical and Electronics Engineering Technicians,0.84,173023,3113,3,Electrical Engineering Technicians,D,3D
Electro-Mechanical Technicians,0.81,173024,3113,3,Electrical Engineering Technicians,D,3D
Electrical and Electronics Engineering Technicians,0.84,173023,3114,3,Electronics Engineering Technicians,D,3D
Aerospace Engineering and Operations Technicians,0.48,173021,3115,3,Mechanical Engineering Technicians,C,3C
Electro-Mechanical Technicians,0.81,173024,3115,3,Mechanical Engineering Technicians,C,3C
Mechanical Engineering Technicians,0.38,173027,3115,3,Mechanical Engineering Technicians,C,3C
"Engineering Technicians, Except Drafters, All Other",0.24,173029,3115,3,Mechanical Engineering Technicians,C,3C
"Engineering Technicians, Except Drafters, All Other",0.24,173029,3116,3,Chemical Engineering Technicians,C,3C
"Engineering Technicians, Except Drafters, All Other",0.24,173029,3117,3,Mining and Metallurgical Technicians,B,3B
Geological and Petroleum Technicians,0.91,194041,3117,3,Mining and Metallurgical Technicians,B,3B
Architectural and Civil Drafters,0.52,173011,3118,3,Draughtspersons,M,3M
"Electrical and Electronics Drafters, label 1",0.81,173012,3118,3,Draughtspersons,D,3D
Mechanical Drafters,0.68,173013,3118,3,Draughtspersons,C,3C
-,-,173019,3118,3,-,-,3-
"Fine Artists, Including Painters, Sculptors, and Illustrators",0.042,271013,3118,3,Draughtspersons,R,3R
Environmental Engineering Technicians,0.25,173025,3119,3,Physical Engineering Science Technicians Not Elsewhere Classified,E,3E
Industrial Engineering Technicians,0.03,173026,3119,3,Physical Engineering Science Technicians Not Elsewhere Classified,C,3C
"Engineering Technicians, Except Drafters, All Other",0.24,173029,3119,3,Physical Engineering Science Technicians Not Elsewhere Classified,M,3M
Nuclear Technicians,0.85,194051,3119,3,Physical Engineering Science Technicians Not Elsewhere Classified,D,3D
Forensic Science Technicians,0.0095,194092,3119,3,Physical Engineering Science Technicians Not Elsewhere Classified,M,3M
"Life, Physical and Social Science Technicians, All Other",0.61,194099,3119,3,Physical Engineering Science Technicians Not Elsewhere Classified,M,3M
First-Line Supervisors of Fire Fighting and Prevention Workers,0.0036,331021,3119,3,Physical Engineering Science Technicians Not Elsewhere Classified,O,3O
Fire Inspectors and Investigators,0.48,332021,3119,3,Physical Engineering Science Technicians Not Elsewhere Classified,O,3O
Forest Fire Inspectors and Prevention Specialists,0.048,332022,3119,3,Physical Engineering Science Technicians Not Elsewhere Classified,O,3O
Traffic Technicians,0.9,536041,3119,3,Physical Engineering Science Technicians Not Elsewhere Classified,H,3H
First-Line Supervisors of Construction Trades and Extraction Workers,0.17,471011,3121,3,Mining Supervisors,B,3B
First-Line Supervisors of Production and Operating Workers,0.016,511011,3122,3,Manufacturing Supervisors,C,3C
First-Line Supervisors of Construction Trades and Extraction Workers,0.17,471011,3123,3,Construction Supervisors,F,3F
First-Line Supervisors of Production and Operating Workers,0.016,511011,3131,3,Power Production Plant Operators,D,3D
Nuclear Power Reactor Operators,0.95,518011,3131,3,Power Production Plant Operators,D,3D
Power Distributors and Dispatchers,0.64,518012,3131,3,Power Production Plant Operators,D,3D
Power Plant Operators,0.85,518013,3131,3,Power Production Plant Operators,D,3D
First-Line Supervisors of Production and Operating Workers,0.016,511011,3132,3,Incinerator and Water Treatment Plant Operators,E,3E
Water and Wastewater Treatment Plant Systems Operators,0.61,518031,3132,3,Incinerator and Water Treatment Plant Operators,E,3E
